id,text,label
0,Renfe afronta mañana un nuevo día de paros parciales de los maquinistas,2
1,Presupuesto populista con cimientos frágiles,2
2,Biden no cree que la OPEP+ vaya a ayudar con los precios del petróleo,2
3,La deuda de las familias cae en 25.000 millones en 2015 y marca niveles previos a la crisis,0
4,"Bestinver: no hay ""momento más inoportuno"" para el Brexit",2
5,El número de desempleados aumenta en 932 personas en octubre,2
6,La sombra de Donald Trump se cierne sobre la economía mexicana,2
7,Grecia pide 3.000 millones al Banco Mundial para crear 300.000 empleos,2
8,Pensiones en España: tenemos un problema,2
9,"Trump: ""La paciencia estratégica con Pyongyang se ha acabado""",2
10,Berenberg reincide en su pesimismo sobre la banca española,2
11,España pierde su segundo arbitraje internacional por el recorte de las primas a las renovables,2
12,Tercer mes a la baja en el Ibex-35,2
13,"Se duplican los accidentes laborales mortales en Euskadi, con once fallecidos hasta marzo",2
14,España se mantiene como el segundo país de la eurozona con mayor tasa de paro,2
15,Los carburantes repuntan a nuevos máximos y acumulan un encarecimiento de hasta el 15%,2
16,Maroto prevé «meses duros» pero confía en recuperar el turismo antes del verano,2
17,La mitad de los españoles reducirá sus gastos esta Navidad,0
18,Una de cada diez empresas cerrará y la mitad entrará en pérdidas,2
19,La fortaleza del euro entorpece la recuperación del Viejo Continente,0
20,La UE devuelve a Panamá a su lista negra de paraísos fiscales,2
21,Bruselas denunciará a España ante el TUE si no aplica las normas europeas sobre fondos de inversión,2
22,"El Ibex-35 pierde un 0,29% en la sesión y gana un 0,14% en octubre",2
23,"El Ibex-35 se marea con el BCE, la investidura fallida y los resultados y pierde los 9.300 puntos",2
24,"El IBEX (-0,9%) transita en rojo por un miércoles santo que deja pérdidas en resto de Bolsas europeas",2
25,La bajada de los alimentos deja la subida de precios de enero en el 1%,2
26,"El déficit público en la eurozona sube al 0,5% en el tercer trimestre",2
27,Las empresas aportan la mitad que hace 10 años a las cuentas del Estado,2
28,"El Ibex-35 cae un 4,8% en agosto, cierra al filo de los 9.400 puntos, casi en mínimos anuales",2
29,"La inflación de China se mantiene en el 1,8% en mayo",0
30,Con las cuotas a vueltas,2
31,El vaivén de Donald Trump con los aranceles de China sacude todas las bolsas mundiales,2
32,«Los índices europeos parecen haber entrado en modo rebote»,0
33,"El beneficio del Santander se reduce un 4,9% por los tipos de cambio",2
34,Guindos apunta a Italia como el mayor riesgo para la deuda en Europa y no descarta un 'efecto contagio',2
35,"El FMI calcula que el coronavirus puede costarle entre un 0,1% y un 0,2% al PIB mundial este año",2
36,Oh yes! Gibraltar se paga sus servicios públicos engañando a la UE,2
37,Sanidad contradice a Comercio y prohíbe las rebajas por posibles aglomeraciones,2
38,"La tasa de paro salta al 15,33% tras destruirse un millón de empleos",2
39,La disolución de empresas se duplicó en junio respecto a mayo,2
40,"Créditos morosos en manos del Gobierno español sumaban 0,2 % del PIB en 2017",2
41,"El FMI alerta a Italia de que sus políticas podrían dejar ""vulnerable"" al país ante los mercados",2
42,Hacienda advierte a 21.500 usuarios de plataformas como Airbnb de que deben declarar todos sus ingresos,2
43,"La Bolsa de Hong Kong baja un 0,51 % a media sesión",2
44,"La Bolsa de México pierde un 0,36 % al inicio de la sesión",2
45,Los trabajadores de ITP en Sestao y Barakaldo piden una solución 'in extremis' a sus despidos,2
46,"La Bolsa de Londres baja un 0,29 % en la apertura",2
47,La luz anticipa mañana otro récord con España congelada,0
48,"El PIB frena su crecimiento y se expande un 0,5% en el segundo trimestre",2
49,"Trump: ""Sin las subidas de tipos de la Fed, EEUU habría crecido un 4% en 2018""",2
50,Cae la tasa de ahorro de los hogares en 2018 al mínimo histórico,2
51,Sólo el PSOE se enroca en mantener la subida del impuesto de matriculación,2
52,"La Bolsa de París baja un 0,09 % a la apertura",2
53,"Rusia, un país con excesiva presencia del Estado e infraestructuras insuficientes",2
54,Huelga en la mayor compañía minera de Mauritania casi paraliza la actividad,2
55,Wall Street vuelve a las ventas afectado por la caída del petróleo,2
56,"El precio de la gasolina sube un 1,73 % y el del gasóleo, un 1,21 %",0
57,Los tuits de Trump y las tensiones geopolíticas tumban la Bolsa de Seúl,2
58,Los cruceros reabren sus puertas con solo un quinto de su negocio,2
59,La bolsa de Sao Paulo encadena tercera caída consecutiva en jornada volátil,2
60,ELA aboga por mantener la huelga indefinida en Tubacex como «garantía» para negociar,2
61,La guerra fría tecnológica entre EEUU y China acentúa el temor de Wall Street,2
62,"El petróleo de Texas cae un 0,6% y cierra en 58,81 dólares el barril",2
63,"Caída de Google y de sus servicios de Gmail y Youtube en EEUU, España y otros países europeos",2
64,Los riesgos económicos ante la repetición electoral de noviembre,2
65,"La Bolsa de Sao Paulo pierde un 0,41 % en la apertura",2
66,"España, en la zona media de la digitalización europea: lastrada por la formación y los precios",2
67,"La deuda pública marca nuevo récord con 1,2 billones de euros hasta marzo",2
68,"El Gobierno admite que la fortaleza del euro es una ""amenaza importante"" para el turismo en España",0
69,Funcas avisa: la ralentización económica y la incertidumbre política obstaculizan el cumplimiento del déficit,2
70,"El IBEX abre con pérdidas del 0,25 % en una jornada sin referencias de EEUU",2
71,El Ibex vuelve a perder el 9.000 lastrado por el Brexit y la guerra comercial,2
72,La planta de Nissan en Barcelona dejará de fabricar el 'pick-up' de Mercedes-Benz,2
73,CEOE denuncia la falta de EPIs de las pymes para reanudar su actividad con garantías,2
74,La ley de sociedades profesionales se retrasa de nuevo en el Congreso,2
75,Los peligros de financiarse sólo con rondas,2
76,"Tamaño y sector, los motivos detrás de las ""acusadas"" diferencias en digitalización de las empresas españolas",2
77,Acciona ve imposible adjudicar el contrato de ATLL a Agbar,2
78,El PSOE vaticina menos seguros agrarios con las ayudas del Gobierno regional,2
79,La confianza empresarial cae en Alemania en septiembre por quinto mes,2
80,"Gandía, última parada de la guerra legal entre Aguas de Valencia y Agbar",2
81,"El sector textil cae un 8% en un semestre ""dramático"" en ventas",2
82,"El juez liquida una inmobiliaria de Banco de Valencia, Gesfesa, Igsa y Planea",2
83,Fitch avisa de que la unión bancaria no tranquiliza a los inversores,2
84,"Las ventas minoristas de la eurozona cayeron un 0,6% en diciembre",2
85,Cuando el heredero no sirve como directivo,2
86,La publicidad emitida en TV cae casi un 12% en el tercer trimestre,2
87,El 60% de las empresas no prevé mejorar sus ventas este verano,2
88,Cataluña amenaza el año récord de Caixabank,2
89,La cara B de la oferta china por Nissan Barcelona: apenas beneficiará a los proveedores,2
90,El Automobile de Barcelona se aplaza a septiembre por la crisis mundial de chips,2
91,"La solvencia del posible comprador de Air Comet, en entredicho",2
92,Las cofradías ultiman una lluvia de alegaciones contra los dos parques eólicos marinos de Iberdrola en Galicia,2
93,Emprendedor exhibe a influencer por pedir perfume gratis y así respondió Lizzy Graph,2
94,El activismo climático veta al gas,2
95,"La confianza empresarial cae un 2,5% por las peores expectativas ante ómicron",2
96,Los datos sobre el uso de los ascensores arrojan una caída del 45% en la afluencia a la oficina por ómicron,2
97,La sombra de Bankia llega hasta Ibercaja: los minoristas vuelven a quedarse fuera,2
98,6 errores que tienes que evitar al alquilar una oficina,2
99,"El ""Operativo Máximo"" causa un temblor en el PJ bonaerense",2
100,Los inspectores de Trabajo preparan huelga en marzo ante el “abandono” de Díaz y Montero,2
101,Tenaris deja de cotizar en dos semanas y los inversores tienen que decidir qué hacer con sus acciones,2
102,La devaluación puso más presión a los balances de las empresas,2
103,Empeoran las condiciones de los créditos para empresas,2
104,Draghi protesta por el registro policial efectuado en el banco central de Eslovenia,2
105,La CNMV prohíbe las ventas en corto sobre acciones de 69 sociedades por el impacto del coronavirus,2
106,Los malos resultados de ArcelorMittal preocupan a las plantas del País Vasco,2
107,Las aseguradoras verán reducida su red bancaria en 1.560 oficinas,2
108,Sube solo un 2% el tipo efectivo que las empresas pagan a Hacienda,2
109,Los coches eléctricos cortocircuitarán a los concesionarios,2
110,La banca estadounidense también se suma al exilio fiscal,0
